Time,R,P
2018/1/2 15:30,332.2,4.08833
2018/1/2 15:45,237.6,2.508
2018/1/2 16:00,121.933,1.151
2018/1/2 16:15,178.333,1.782
2018/1/2 16:30,163.467,1.757
2018/1/2 16:45,139.4,1.42967
2018/1/2 17:00,107.667,1.143
2018/1/2 17:15,80.8667,0.757333
2018/1/2 17:30,56.0667,0.486333
2018/1/2 17:45,58,0.553333
2018/1/2 18:00,31.0667,0.212667
2018/1/3 9:15,23.6,0.057333
2018/1/3 9:30,57.2,0.297333
2018/1/3 9:45,84.4667,0.484667
2018/1/3 10:00,93.7333,0.513333
2018/1/3 10:15,112.2,0.656667
2018/1/3 10:30,135.067,0.773667
2018/1/3 10:45,196.467,1.26833
2018/1/3 11:00,239.067,1.688
2018/1/3 11:15,277.467,2.04067
2018/1/3 11:30,298.333,2.558
2018/1/3 11:45,360,3.85267
2018/1/3 12:00,320.8,4.59233
2018/1/3 12:15,373.667,3.81567
2018/1/3 12:30,360.8,3.93533
2018/1/3 12:45,267.733,3.83633
2018/1/3 13:00,262.267,2.47967
2018/1/3 13:15,214.133,2.10067
2018/1/3 13:30,202.8,2.14667
2018/1/3 13:45,228.667,2.73533
2018/1/3 14:00,294.2,4.71833
2018/1/3 14:15,471.533,7.764
2018/1/3 14:30,730.133,8.55667
2018/1/3 14:45,606.133,8.24267
2018/1/3 15:00,284.4,7.99333
2018/1/3 15:15,497.267,7.675
2018/1/3 15:30,471,7.13833
2018/1/3 15:45,436,6.75833
2018/1/3 16:00,399.667,6.369
2018/1/3 16:15,236.733,3.02233
2018/1/3 16:30,240.2,3.74467
2018/1/3 16:45,263,4.57233
2018/1/3 17:00,219.867,3.872
2018/1/3 17:15,125.467,2.422
2018/1/3 17:30,79.3333,1.119
2018/1/3 17:45,58.3333,0.588667
2018/1/3 18:00,22.8667,0.214667
2018/1/4 9:00,12.5333,0.043
2018/1/4 9:15,47.5333,0.302667
2018/1/4 9:30,83.4667,0.634667
2018/1/4 9:45,137.533,1.211
2018/1/4 10:00,216.533,2.23533
2018/1/4 10:15,283.867,3.123
2018/1/4 10:30,332.667,3.86233
2018/1/4 10:45,369.6,4.85867
2018/1/4 11:00,406.4,6.66467
2018/1/4 11:15,437.2,6.95
2018/1/4 11:30,470.733,7.338
2018/1/4 11:45,504.533,7.76867
2018/1/4 12:00,544.933,7.82133
2018/1/4 12:15,631.667,8.264
2018/1/4 13:30,755.2,9.053
2018/1/4 13:45,730.8,8.995
2018/1/4 14:00,712.333,8.777
2018/1/4 14:15,702.4,8.74767
2018/1/4 14:30,697.267,8.78233
2018/1/4 14:45,635.6,8.58933
2018/1/4 15:00,601.8,8.33867
2018/1/4 15:15,560.667,7.936
2018/1/4 15:30,519,7.49033
2018/1/4 15:45,475.933,6.58733
2018/1/4 16:00,429.867,6.70267
2018/1/4 16:15,390.733,6.32433
2018/1/4 16:30,340.133,5.697
2018/1/4 16:45,285.333,4.91933
2018/1/4 17:00,236.267,4.17667
2018/1/4 17:15,139.4,2.72533
2018/1/4 17:30,82.8667,1.152
2018/1/4 17:45,63.4,0.566333
2018/1/4 18:00,22.8,0.209333
2018/1/5 9:00,30.4,0.217333
2018/1/5 9:15,71,0.551667
2018/1/5 9:30,92.6667,0.910667
2018/1/5 9:45,156.667,1.963
2018/1/5 10:00,220.4,3.68867
2018/1/5 10:15,311.533,4.88867
2018/1/5 10:30,362.267,5.603
2018/1/5 10:45,401.733,6.136
2018/1/5 11:00,445.733,6.66367
2018/1/5 11:15,486.2,7.171
2018/1/5 11:30,519.733,7.561
2018/1/5 11:45,549,7.92533
2018/1/5 12:00,574.467,8.21833
2018/1/5 12:15,596.667,8.47333
2018/1/5 12:30,618.933,8.671
2018/1/5 12:45,639.467,8.82567
2018/1/5 13:00,648.067,8.95067
2018/1/5 13:15,645.933,8.99133
2018/1/5 13:30,606.333,8.37733
2018/1/5 13:45,623.933,8.433
2018/1/5 14:00,701.733,9.01233
2018/1/5 14:15,588.6,7.51567
2018/1/5 14:30,477.667,6.10467
2018/1/5 14:45,515.667,6.989
2018/1/5 15:00,507.2,6.86933
2018/1/5 15:15,429.133,5.82033
2018/1/5 15:30,516.467,7.24067
2018/1/5 15:45,469.8,6.611
2018/1/5 16:00,320.667,4.19433
2018/1/5 16:15,210.4,2.28867
2018/1/5 16:30,197.6,2.34333
2018/1/5 16:45,203,2.38767
2018/1/5 17:00,150.867,1.74533
2018/1/5 17:15,110.8,1.24567
2018/1/5 17:30,73.5333,0.69
2018/1/5 17:45,37,0.248333
2018/1/5 18:00,16.7333,0.051667
2018/1/6 9:00,11.3333,0.003667
2018/1/6 9:15,26.2,0.113667
2018/1/6 9:30,46.5333,0.313667
2018/1/6 9:45,68.4,0.618
2018/1/6 10:00,116.2,1.02133
2018/1/6 10:15,166.6,1.55367
2018/1/6 10:30,215.067,2.451
2018/1/6 10:45,346.067,4.349
2018/1/6 11:00,396.4,5.34033
2018/1/6 11:15,446.467,6.311
2018/1/6 11:30,448.667,6.49367
2018/1/6 11:45,487.8,6.92033
2018/1/6 12:00,525.8,7.55167
2018/1/6 12:15,554.333,7.85833
2018/1/6 12:30,579.467,8.21367
2018/1/6 12:45,606.6,8.42267
2018/1/6 13:00,609.8,8.46733
2018/1/6 13:15,615.533,8.58767
2018/1/6 13:30,625.2,8.61167
2018/1/6 13:45,617,8.53267
2018/1/6 14:00,596.333,8.31667
2018/1/6 14:15,584.933,8.10233
2018/1/6 14:30,563.133,7.735
2018/1/6 14:45,552.333,7.74467
2018/1/6 15:00,502.267,7.03133
2018/1/6 15:15,443.2,6.113
2018/1/6 15:30,464.867,7.19767
2018/1/6 15:45,365.533,4.361
2018/1/6 16:00,214,2.66367
2018/1/6 16:15,338.6,4.75367
2018/1/6 16:30,313.2,5.13933
2018/1/6 16:45,117.067,1.136
2018/1/6 17:00,53.0667,0.679333
2018/1/6 17:15,67.0667,1.42733
2018/1/6 17:30,54.0667,0.951667
2018/1/6 17:45,45.8667,0.466667
2018/1/6 18:00,22.2,0.229
2018/1/7 9:00,18.4667,0.082
2018/1/7 9:15,63,0.412333
2018/1/7 9:30,89.5333,0.798667
2018/1/7 9:45,160.067,1.98833
2018/1/7 10:00,252.667,3.67033
2018/1/7 10:15,311.4,4.60267
2018/1/7 10:30,365.533,5.36033
2018/1/7 10:45,412.4,5.879
2018/1/7 11:00,453.133,6.38833
2018/1/7 11:15,456.733,6.299
2018/1/7 11:30,496.733,6.78733
2018/1/7 11:45,530.4,7.79667
2018/1/7 12:00,555.4,7.72533
2018/1/7 12:15,526.067,7.34633
2018/1/7 12:30,544.067,7.59033
2018/1/7 12:45,411.867,4.71233
2018/1/7 13:00,487.333,7.383
2018/1/7 13:15,524.267,7.12367
2018/1/7 13:30,626.4,8.365
2018/1/7 13:45,641.267,7.693
2018/1/7 14:00,666.133,9.439
2018/1/7 14:15,588.6,8.46
2018/1/7 14:30,523.267,7.50333
2018/1/7 14:45,592.133,8.601
2018/1/7 15:00,638.067,8.52667
2018/1/7 15:15,652,7.86967
2018/1/7 15:30,429.333,5.558
2018/1/7 15:45,297.133,2.83267
2018/1/7 16:00,237.067,3.37633
2018/1/7 16:15,321.667,4.417
2018/1/7 16:30,379.733,4.66667
2018/1/7 16:45,287.4,5.185
2018/1/7 17:00,161.533,3.035
2018/1/7 17:15,45.5333,0.403
2018/1/7 17:30,29.8667,0.077667
2018/1/8 9:00,34.9333,0.167333
2018/1/8 9:15,79.4667,0.565
2018/1/8 9:30,99.5333,1.05167
2018/1/8 9:45,180.667,2.496
2018/1/8 10:00,299.667,4.656
2018/1/8 10:15,357.6,5.63433
2018/1/8 10:30,409.4,6.33633
2018/1/8 10:45,456.867,6.88367
2018/1/8 11:00,497.467,7.39533
2018/1/8 11:15,533.8,7.958
2018/1/8 11:30,567.333,8.36833
2018/1/8 11:45,596.467,8.72433
2018/1/8 12:00,619.733,9.254
2018/1/8 12:15,638.2,9.696
2018/1/8 12:30,656.2,9.84933
2018/1/8 12:45,673.867,9.90033
2018/1/8 13:00,686.867,9.92933
2018/1/8 13:15,689.867,9.96
2018/1/8 13:30,690,9.993
2018/1/9 11:45,653.4,9.186
2018/1/9 12:00,615.333,9.49133
2018/1/9 12:15,637.067,9.72333
2018/1/9 12:30,658.6,9.97633
2018/1/9 13:15,690.467,9.97933
2018/1/9 13:45,694.133,9.962
2018/1/9 14:00,691.267,9.96167
2018/1/9 14:15,689.533,9.98
2018/1/9 14:30,691.4,9.94867
2018/1/9 14:45,651.267,9.82167
2018/1/9 15:00,620.667,9.58367
2018/1/9 15:15,591.933,9.31767
2018/1/9 15:30,557.467,8.94267
2018/1/9 15:45,517.333,8.53133
2018/1/9 16:00,474.333,8.09133
2018/1/9 16:15,429.2,7.60667
2018/1/9 16:30,380.267,6.99167
2018/1/9 16:45,330.333,6.35033
2018/1/9 17:00,273.8,5.53333
2018/1/9 17:15,181.333,4.187
2018/1/9 17:30,103.6,1.96533
2018/1/9 17:45,65.4,0.772333
2018/1/9 18:00,32.5333,0.418667
2018/1/20 9:00,39.7333,0.277333
2018/1/20 9:15,104.933,0.690667
2018/1/20 9:30,129.667,1.64167
2018/1/20 9:45,245.733,3.88533
2018/1/20 10:00,320.467,5.01533
2018/1/20 10:15,372.667,3.81233
2018/1/20 10:30,416.133,4.56067
2018/1/20 10:45,468.333,6.58667
2018/1/20 11:00,514,5.876
2018/1/20 11:15,556.467,7.09667
2018/1/20 11:30,566.8,6.50333
2018/1/20 12:00,645.2,8.07567
2018/1/20 12:15,669.667,9.04633
2018/1/20 12:30,694.067,9.251
2018/1/20 12:45,711.267,9.46
2018/1/20 13:00,720.6,9.647
2018/1/20 13:15,726,9.123
2018/1/20 13:45,708.267,9.45267
2018/1/20 14:00,689.333,7.97967
2018/1/20 14:15,646.4,8.642
2018/1/20 14:30,668.533,9.251
2018/1/20 14:45,667.133,9.213
2018/1/20 15:00,625.2,8.78867
2018/1/20 15:15,502,7.41033
2018/1/20 15:30,427.2,6.29133
2018/1/20 15:45,349.533,5.55
2018/1/20 16:00,357.067,5.15267
2018/1/20 16:15,320.667,4.39433
2018/1/20 16:30,198.667,2.40467
2018/1/20 16:45,166,2.41833
2018/1/20 17:00,213.133,3.80167
2018/1/20 17:15,176.6,2.68933
2018/1/20 17:30,130.8,2.07
2018/1/20 17:45,87.6,1.348
2018/1/20 18:00,37.6667,0.450333
2018/1/20 18:15,23.5333,0.18
2018/1/21 9:00,26.7333,0.227333
2018/1/21 9:15,77.4667,0.650333
2018/1/21 9:30,117.733,1.485
2018/1/21 9:45,200.733,3.17833
2018/1/21 10:00,275.067,4.47567
2018/1/21 10:15,336.467,5.26833
2018/1/21 10:30,393.6,6.09733
2018/1/21 10:45,442.6,6.70933
2018/1/21 11:00,483.8,7.23333
2018/1/21 11:15,526,7.81767
2018/1/21 11:30,563.467,8.13733
2018/1/21 11:45,601.067,7.83267
2018/1/21 12:00,633.533,9.02033
2018/1/21 12:15,654.267,9.303
2018/1/21 12:30,676,8.975
2018/1/21 12:45,685.467,9.11567
2018/1/21 13:00,695.6,9.75867
2018/1/21 13:15,706.867,9.82833
2018/1/21 13:30,705.2,9.76967
2018/1/21 13:45,698,8.64067
2018/1/21 14:00,682.133,8.06733
2018/1/21 14:15,643.133,8.99833
2018/1/21 14:30,653.867,8.735
2018/1/21 14:45,624.8,9.01767
2018/1/21 15:00,596.533,9.05667
2018/1/21 15:15,572.533,8.706
2018/1/21 15:30,555.733,8.451
2018/1/21 15:45,513.6,8.03967
2018/1/21 16:00,472.267,7.52633
2018/1/21 16:15,430.2,6.87
2018/1/21 16:30,386.4,6.44067
2018/1/21 16:45,340.533,5.87867
2018/1/21 17:00,282.733,5.29133
2018/1/21 17:15,238.067,4.665
2018/1/21 17:30,174.6,3.662
2018/1/21 17:45,104.867,1.97733
2018/1/21 18:00,49,0.749333
2018/1/21 18:15,31.6,0.364333
2018/1/22 8:45,6.93333,0.019333
2018/1/22 9:00,40.1333,0.327667
2018/1/22 9:15,96.8,0.744333
2018/1/22 9:30,139.333,1.92233
2018/1/22 9:45,255.533,4.005
2018/1/22 10:00,318.267,5.03667
2018/1/22 10:15,373.067,5.78467
2018/1/22 10:30,425.533,6.45267
2018/1/22 10:45,474.267,7.022
2018/1/22 11:00,517.667,6.962
2018/1/22 11:15,557.333,7.657
2018/1/22 11:30,590.4,7.83033
2018/1/22 11:45,622.733,8.48233
2018/1/22 12:00,651.667,9.06567
2018/1/22 12:15,675.267,9.38333
2018/1/22 12:30,696.2,9.58067
2018/1/22 12:45,711.2,9.77267
2018/1/22 13:00,726.4,9.93833
2018/1/22 13:30,735.733,9.96733
2018/1/22 13:45,731.067,9.938
2018/1/22 14:00,719.8,9.985
2018/1/22 14:15,705,9.876
2018/1/22 14:30,689.733,9.72833
2018/1/22 14:45,666.933,9.571
2018/1/22 15:00,641.4,9.383
2018/1/22 15:15,614,9.14967
2018/1/22 15:30,581.333,8.80333
2018/1/22 15:45,543.933,8.445
2018/1/22 16:00,504.733,8.08467
2018/1/22 16:15,462.2,7.38433
2018/1/22 16:30,414.667,6.893
2018/1/22 16:45,364.6,6.566
2018/1/22 17:00,311.667,5.941
2018/1/22 17:15,257.2,5.249
2018/1/22 17:30,199.4,4.26667
2018/1/22 17:45,118.333,2.458
2018/1/22 18:00,44.8667,0.816667
2018/1/22 18:15,21.5333,0.35
2018/1/23 8:45,13.3333,0.034333
2018/1/23 9:00,47.9333,0.336
2018/1/23 9:15,99.6,0.783333
2018/1/23 9:30,151.133,2.11033
2018/1/23 9:45,264.533,4.15133
2018/1/23 10:00,320.8,5.11867
2018/1/23 10:15,376.667,5.82567
2018/1/23 10:30,429.733,6.473
2018/1/23 10:45,478.6,6.41067
2018/1/23 11:00,522.8,7.47267
2018/1/23 11:15,560.6,7.88167
2018/1/23 11:30,594.733,8.241
2018/1/23 11:45,625.733,8.55267
2018/1/23 12:00,654.867,8.82267
2018/1/23 12:15,680.533,9.04267
2018/1/23 12:30,699.4,9.17033
2018/1/23 12:45,716.267,9.28567
2018/1/23 13:00,729.933,9.38467
2018/1/23 13:15,734.067,9.449
2018/1/23 13:30,734.467,9.48767
2018/1/23 13:45,736.267,9.64033
2018/1/23 14:00,730.333,9.62033
2018/1/23 14:15,720.533,9.55767
2018/1/23 14:30,703.2,9.43567
2018/1/23 14:45,680.867,9.28633
2018/1/23 15:00,653.067,9.13567
2018/1/23 15:15,621.267,8.91033
2018/1/23 15:30,586.133,8.57667
2018/1/23 15:45,546.533,8.251
2018/1/23 16:00,505.267,7.846
2018/1/23 16:15,461.733,7.46433
2018/1/23 16:30,414.933,6.93833
2018/1/23 16:45,364.2,6.453
2018/1/23 17:00,310.867,5.851
2018/1/23 17:15,253.4,5.152
2018/1/23 17:30,197.8,4.23533
2018/1/23 17:45,119.8,2.61033
2018/1/23 18:00,43.2667,0.86
2018/1/23 18:15,17.0667,0.358333
2018/1/24 9:00,37.0667,0.308667
2018/1/24 9:15,69.9333,0.666
2018/1/24 9:30,94,0.984
2018/1/24 9:45,127.533,1.412
2018/1/24 10:00,176.867,2.30667
2018/1/24 10:15,272.733,3.397
2018/1/24 10:30,299.333,3.73
2018/1/24 10:45,346.2,4.486
2018/1/24 11:00,507.267,6.60833
2018/1/24 11:15,526.2,6.00233
2018/1/24 11:30,557.267,6.28433
2018/1/24 12:30,587.6,6.86833
2018/1/24 12:45,607.8,7.45533
2018/1/24 13:00,613.4,7.58567
2018/1/24 13:15,684.6,8.666
2018/1/24 13:30,658.067,8.41767
2018/1/24 13:45,643.533,8.12667
2018/1/24 14:00,683.667,8.068
2018/1/24 14:15,581,6.626
2018/1/24 14:30,482.2,5.65733
2018/1/24 14:45,490.267,5.82233
2018/1/24 15:00,521.667,7.102
2018/1/24 15:15,552.667,7.796
2018/1/24 15:30,503.133,7.21633
2018/1/24 15:45,406.533,5.83033
2018/1/24 16:00,386.8,5.71233
2018/1/24 16:15,324.333,4.66733
2018/1/24 16:30,242.333,3.21867
2018/1/24 16:45,210.133,3.05533
2018/1/24 17:00,206.267,3.2
2018/1/24 17:15,147.467,2.11333
2018/1/24 17:30,126.267,1.53933
2018/1/24 17:45,91.9333,1.143
2018/1/24 18:00,52.8667,0.410667
2018/1/24 18:15,17.8,0.101667
2018/1/25 8:45,6.73333,0.022333
2018/1/25 9:00,37.2667,0.264667
2018/1/25 9:15,91.4,0.801667
2018/1/25 9:30,169.333,2.05867
2018/1/25 9:45,270,3.561
2018/1/25 10:00,337.667,4.463
2018/1/25 10:15,393.733,5.05333
2018/1/25 11:00,498.4,6.86233
2018/1/25 11:15,539.267,7.50467
2018/1/25 11:30,575.667,7.82333
2018/1/25 11:45,608.8,7.30333
2018/1/25 12:00,637.667,8.27833
2018/1/25 12:15,666.067,8.78667
2018/1/25 12:30,689,8.98233
2018/1/25 12:45,704.8,9.14033
2018/1/25 13:00,718.133,9.305
2018/1/25 13:15,724.933,8.68567
2018/1/25 14:30,691.6,8.46233
2018/1/25 14:45,667.6,8.78833
2018/1/25 15:00,632.667,8.78167
2018/1/25 15:15,600.6,8.51467
2018/1/25 15:30,568.867,8.219
2018/1/25 15:45,535.733,7.89467
2018/1/25 16:00,506.333,7.76167
2018/1/25 16:15,470.333,7.493
2018/1/25 16:30,411.333,6.84467
2018/1/25 16:45,373.133,6.453
2018/1/25 17:00,314.933,5.699
2018/1/25 17:15,259.6,5.04733
2018/1/25 17:30,206.467,4.229
2018/1/25 17:45,136.533,2.838
2018/1/25 18:00,59.2667,1.08367
2018/1/25 18:15,28.6,0.402
2018/1/26 8:45,6.53333,0.012667
2018/1/26 9:00,48.3333,0.418667
2018/1/26 9:15,81.4667,0.736
2018/1/26 9:30,134.8,1.741
2018/1/26 9:45,213,3.31867
2018/1/26 10:00,296.2,4.39
2018/1/26 10:15,344.4,5.09233
2018/1/26 10:30,403.467,5.88333
2018/1/26 10:45,449.867,6.47733
2018/1/26 11:00,498.533,7.04367
2018/1/26 11:15,531.533,7.092
2018/1/26 11:30,573.2,6.416
2018/1/26 11:45,606.333,7.49067
2018/1/26 12:00,636.867,8.51733
2018/1/26 12:15,652.8,8.691
2018/1/26 12:30,684.267,8.99167
2018/1/26 12:45,708.6,9.062
2018/1/26 13:00,726.8,9.265
2018/1/26 13:15,732.4,9.44933
2018/1/26 13:30,724.4,9.36833
2018/1/26 13:45,726.067,9.22333
2018/1/26 14:00,731.933,9.20167
2018/1/26 14:15,715.2,9.45733
2018/1/26 14:30,554.133,8.518
2018/1/26 14:45,701.333,9.525
2018/1/26 15:00,595.733,8.921
2018/1/26 15:15,648.867,8.49933
2018/1/26 15:30,563.933,8.06533
2018/1/26 15:45,579.467,8.12033
2018/1/26 16:00,486.933,7.069
2018/1/26 16:15,413.2,6.10767
2018/1/26 16:30,358.4,5.353
2018/1/26 16:45,319.6,4.65767
2018/1/26 17:00,235.6,3.217
2018/1/26 17:15,176.933,2.31633
2018/1/26 17:30,177.333,2.70567
2018/1/26 17:45,85.5333,0.956667
2018/1/26 18:00,68.4667,0.668333
2018/1/26 18:15,37.9333,0.271667
2018/1/27 9:00,16.5333,0.093
2018/1/27 9:15,63.0667,0.700333
2018/1/27 9:30,140.733,1.86233
2018/1/27 9:45,231.4,3.411
2018/1/27 10:00,280.133,4.06
2018/1/27 10:15,389.6,5.089
2018/1/27 10:30,321.8,4.174
2018/1/27 10:45,285.533,3.699
2018/1/27 11:00,328.467,4.64733
2018/1/27 11:15,290.6,2.97533
2018/1/27 11:30,259,2.766
2018/1/27 11:45,318.8,4.31367
2018/1/27 12:00,607.4,8.045
2018/1/27 12:15,577.4,7.16267
2018/1/27 12:30,690.8,9.166
2018/1/27 12:45,674.8,8.99633
2018/1/27 13:00,729.867,9.699
2018/1/27 13:15,742.933,9.818
2018/1/27 13:30,777.133,9.70067
2018/1/27 13:45,525.133,6.85633
2018/1/27 14:00,614.267,8.298
2018/1/27 14:15,574.867,7.22667
2018/1/27 14:30,710.733,8.94067
2018/1/27 14:45,696.733,9.18633
2018/1/27 15:00,579.667,8.25633
2018/1/27 15:15,622.4,8.519
2018/1/27 15:30,601.333,8.924
2018/1/27 15:45,559.867,8.54667
2018/1/27 16:00,517.267,8.133
2018/1/27 16:15,470.267,7.49033
2018/1/27 16:30,416.067,6.78167
2018/1/27 16:45,353.4,6.304
2018/1/27 17:00,324.867,6.09167
2018/1/27 17:15,284.2,5.196
2018/1/27 17:30,249.6,4.307
2018/1/27 17:45,166.867,2.92433
2018/1/27 18:00,66.0667,1.001
2018/1/27 18:15,19,0.162
2018/1/28 8:45,4.86667,0.001
2018/1/28 9:00,25.4667,0.193667
2018/1/28 9:15,45.3333,0.385333
2018/1/28 9:30,76.7333,0.985667
2018/1/28 9:45,162.867,2.07467
2018/1/28 10:00,118.4,1.31867
2018/1/28 10:15,184.8,2.056
2018/1/28 10:30,172.8,1.71167
2018/1/28 10:45,178.533,1.93033
2018/1/28 11:00,172.533,1.99133
2018/1/28 11:15,202.733,1.85
2018/1/28 11:30,226.8,2.22933
2018/1/28 11:45,369.133,4.22
2018/1/28 12:00,479.733,6.24167
2018/1/28 12:15,420.6,4.54767
2018/1/28 12:30,472.867,6.309
2018/1/28 12:45,686.133,8.53433
2018/1/28 13:00,567.6,6.47
2018/1/28 13:15,622.6,8.04433
2018/1/28 13:30,673,8.668
2018/1/28 13:45,747.2,9.80367
2018/1/28 14:00,731.8,9.534
2018/1/28 14:15,719.667,9.52867
2018/1/28 14:30,714,9.52267
2018/1/28 14:45,705,9.49
2018/1/28 15:00,254.867,3.61867
2018/1/28 15:15,325.933,5.75767
2018/1/28 15:30,384.733,5.829
2018/1/28 15:45,464.667,6.08333
2018/1/28 16:15,400.8,5.87467
2018/1/28 16:30,526.067,5.93967
2018/1/28 16:45,461.133,5.66133
2018/1/28 17:00,154.733,3.17033
2018/1/28 17:15,299.267,5.407
2018/1/28 17:30,189.333,3.76367
2018/1/28 17:45,176.333,3.45633
2018/1/28 18:00,84.4,1.441
2018/1/28 18:15,39.6667,0.480667
2018/1/29 9:00,24.6667,0.159
2018/1/29 9:15,58.8667,0.483667
2018/1/29 9:30,126.933,1.50367
2018/1/29 9:45,194,2.58033
2018/1/29 10:00,267.867,3.66233
2018/1/29 10:15,309.933,4.37233
2018/1/29 10:30,382.467,5.40033
2018/1/29 10:45,439.4,5.87233
2018/1/29 11:00,494.867,6.82733
2018/1/29 11:15,536.867,7.28833
2018/1/29 11:30,555.467,7.57067
2018/1/29 11:45,615.133,8.228
2018/1/29 12:00,645.8,8.563
2018/1/29 12:15,674.4,8.86733
2018/1/29 12:30,697,8.879
2018/1/29 12:45,713.667,9.226
2018/1/29 13:00,726.067,9.23067
2018/1/29 13:15,732.667,9.395
2018/1/29 13:30,734.933,9.40833
2018/1/29 13:45,731.4,9.46167
2018/1/29 14:00,726.2,9.443
2018/1/29 14:15,717.333,9.41467
2018/1/29 14:30,705.333,9.294
2018/1/29 14:45,645.4,8.47833
2018/1/29 15:00,656.667,8.596
2018/1/29 15:15,473.6,6.08933
2018/1/29 15:30,532.733,6.32267
2018/1/29 15:45,522.333,7.52267
2018/1/29 16:00,486.6,7.075
2018/1/29 16:15,437.267,5.26433
2018/1/29 16:30,352.667,4.54367
2018/1/29 16:45,253.4,3.55067
2018/1/29 17:00,217.933,2.50067
2018/1/29 17:15,143.533,1.37433
2018/1/29 17:30,135.2,1.405
2018/1/29 17:45,87.4667,1.11333
2018/1/29 18:00,54.2,0.578333
2018/1/29 18:15,32,0.31
2018/1/30 9:00,20.5333,0.075
2018/1/30 9:15,38.9333,0.285333
2018/1/30 9:30,66.9333,0.545
2018/1/30 9:45,77.2,0.592667
2018/1/30 10:00,95.7333,0.843667
2018/1/30 10:15,206.133,2.44933
2018/1/30 10:30,144.933,1.42333
2018/1/30 10:45,161.4,1.46667
2018/1/30 11:00,131.267,1.12867
2018/1/30 11:15,153.4,1.477
2018/1/30 11:30,147,1.61133
2018/1/30 11:45,305.333,3.348
2018/1/30 12:00,171.733,1.67033
2018/1/30 12:15,190.533,1.77267
2018/1/30 12:30,149.133,1.39667
2018/1/30 12:45,132.8,1.20933
2018/1/30 13:00,97.9333,0.887
2018/1/30 13:15,104.8,0.942
2018/1/30 13:30,72.4,0.682333
2018/1/30 13:45,89.2,0.730333
2018/1/30 14:00,83,0.694
2018/1/30 14:15,131.533,0.999
2018/1/30 14:30,165.2,1.178
2018/1/30 14:45,241,1.70633
2018/1/30 15:00,175.333,1.28967
2018/1/30 15:15,142.133,1.10167
2018/1/30 15:30,140,1.12067
2018/1/30 15:45,166.467,1.49867
2018/1/30 16:00,166.133,1.54
2018/1/30 16:15,208.067,2.22333
2018/1/30 16:30,267.6,3.23767
2018/1/30 16:45,217.933,2.274
2018/1/30 17:00,238.4,2.46867
2018/1/30 17:15,206.733,2.61033
2018/1/30 17:30,131.267,1.42
2018/1/30 17:45,46.8667,0.388333
2018/1/30 18:00,26.6667,0.140333
2018/1/30 18:15,25.8667,0.132333
2018/1/31 8:45,24.4,0.114333
2018/1/31 9:00,68,0.549333
2018/1/31 9:15,107.867,1.44267
2018/1/31 9:30,222.333,3.29533
2018/1/31 9:45,286.333,4.414
2018/1/31 10:00,345.467,5.198
2018/1/31 10:15,403.6,5.91833
